359 turns, score: 6664, maxTile: 512
697 turns, score: 15172, maxTile: 1024
918 turns, score: 22764, maxTile: 2048
995 turns, score: 24604, maxTile: 2048
688 turns, score: 14948, maxTile: 1024
720 turns, score: 15360, maxTile: 1024
646 turns, score: 14200, maxTile: 1024
1227 turns, score: 30608, maxTile: 2048
717 turns, score: 15412, maxTile: 1024
622 turns, score: 13572, maxTile: 1024
689 turns, score: 15128, maxTile: 1024
1275 turns, score: 32476, maxTile: 2048
606 turns, score: 13476, maxTile: 1024
621 turns, score: 13568, maxTile: 1024
542 turns, score: 11528, maxTile: 1024
1227 turns, score: 30588, maxTile: 2048
353 turns, score: 6524, maxTile: 512
684 turns, score: 14676, maxTile: 1024
707 turns, score: 15240, maxTile: 1024
648 turns, score: 14064, maxTile: 1024
703 turns, score: 15184, maxTile: 1024
541 turns, score: 11584, maxTile: 1024
535 turns, score: 11692, maxTile: 1024
700 turns, score: 15276, maxTile: 1024
628 turns, score: 13728, maxTile: 1024
675 turns, score: 14720, maxTile: 1024
389 turns, score: 7156, maxTile: 512
638 turns, score: 13784, maxTile: 1024
704 turns, score: 15136, maxTile: 1024
711 turns, score: 15212, maxTile: 1024
