turns    points   maxTile   secondMaxTile
713      15396      1024
996      25036      2048
534      11444      1024
886      22284      2048
1043      25872      2048
701      15156      1024
714      15224      1024
208      3136      256        128
1073      26264      2048        512
659      14348      1024        512
525      11412      1024        256
693      15092      1024        512
1031      25644      2048        512
690      14936      1024        512
647      13800      1024        512
956      24064      2048        512
639      13840      1024        512
650      14128      1024        512
676      14840      1024        512
534      11448      1024        256
706      15192      1024        512
1058      25880      2048        512
556      11884      1024        256
913      22252      2048        256
974      24328      2048        512
714      15356      1024        512
1016      25152      2048        512
709      15208      1024        512
558      11756      1024        256
1014      24936      2048        512
1055      25852      2048        512
370      6856      512        256
551      11696      1024        256
612      13540      1024        512
363      6620      512        256
932      22688      2048        256
699      14992      1024        512
709      15140      1024        512
721      15516      1024        512
1038      25784      2048        512
399      7056      512        256
372      6844      512        256
447      9772      1024        128
533      11604      1024        256
616      13568      1024        512
360      6696      512        256
649      14144      1024        512
661      14436      1024        512
701      15092      1024        512
1218      30740      2048        1024
703      15308      1024        512
627      13612      1024        512
372      6868      512        256
603      13308      1024        512
813      16904      1024        512
635      13816      1024        512
704      15252      1024        512
616      13568      1024        512
361      6520      512        256
1032      25696      2048        512
709      15256      1024        512
705      15236      1024        512
413      7364      512        256
707      15116      1024        512
579      12256      1024        256
690      15136      1024        512
1047      25836      2048        512
749      16256      1024        512
375      6828      512        256
711      15444      1024        512
398      7508      512        256
886      22248      2048        256
367      6620      512        256
686      15028      1024        512
715      15200      1024        512
723      15564      1024        512
548      11508      1024        256
555      11580      1024        256
299      5436      512        128
697      15096      1024        512
347      6540      512        256
530      11420      1024        256
686      14816      1024        512
377      6888      512        256
694      15144      1024        512
546      11656      1024        256
701      15428      1024        512
558      12240      1024        256
713      15332      1024        512
666      14244      1024        512
716      15260      1024        512
696      15168      1024        512
965      24356      2048        512
1201      30468      2048        1024
681      14728      1024        512
1079      26568      2048        512
621      13748      1024        512
628      13788      1024        512
862      21956      2048        256
1108      26660      2048        512
625      13572      1024        512
708      15380      1024        512
665      14732      1024        512
381      6868      512        256
719      15248      1024        512
1024      25376      2048        512
978      24792      2048        512
561      11748      1024        256
729      15412      1024        512
577      11928      1024        256
288      5112      512        128
1196      30276      2048        1024
724      15764      1024        512
656      14540      1024        512
1141      29012      2048        1024
540      11656      1024        256
637      13820      1024        512
1075      25996      2048        512
679      14748      1024        512
633      13996      1024        512
1206      30632      2048        1024
712      15272      1024        512
673      14672      1024        512
609      13592      1024        512
1226      30648      2048        1024
690      15112      1024        512
722      15404      1024        512
363      6800      512        256
395      6992      512        256
625      13800      1024        512
890      22264      2048        256
1018      25464      2048        512
723      15432      1024        512
366      6640      512        256
525      11268      1024        256
629      13604      1024        512
621      13080      1024        256
661      14496      1024        512
661      14516      1024        512
966      24180      2048        512
720      15536      1024        512
368      6824      512        256
541      11444      1024        256
1032      25696      2048        512
608      13344      1024        512
638      13784      1024        512
565      11988      1024        256
715      15320      1024        512
351      6588      512        256
366      6644      512        256
998      25048      2048        512
706      15196      1024        512
404      7392      512        256
623      13628      1024        512
736      16060      1024        512
680      14640      1024        512
714      15380      1024        512
876      22008      2048        256
556      11732      1024        256
552      11632      1024        256
699      15100      1024        512
701      15156      1024        512
1040      25792      2048        512
989      24832      2048        512
366      6664      512        256
376      6788      512        256
973      24340      2048        512
334      6240      512        256
700      15152      1024        512
356      6440      512        256
907      22636      2048        256
347      6508      512        256
1053      25736      2048        512
700      15100      1024        512
681      15012      1024        512
359      6664      512
697      15172      1024
918      22764      2048
995      24604      2048
1227      30608      2048
717      15412      1024
622      13572      1024
689      15128      1024
1275      32476      2048
606      13476      1024
621      13568      1024
542      11528      1024
1227      30588      2048
353      6524      512
1226      30648      2048        1024
876      22008      2048        256
1032      25696      2048        512
1053      25736      2048        512
1206      30632      2048        1024
1218      30740      2048        1024
711      15372      1024        512
368      6948      512        256
713      15284      1024        512
1051      25836      2048        512
691      15080      1024        512
