turns  poins   maxTile
118    1360    128
117    1280    128
257    4576    512
123    1404    128
198    2916    256
116    1380    128
215    3112    256
198    2864    256
177    2656    256
151    2212    256
167    2548    256
178    2644    256
284    5044    512
148    2152    256
203    2920    256
151    2208    256
164    2264    256
157    2240    256
276    4952    512
183    2744    256
163    2320    256
179    2752    256
124    1356    128
194    2884    256
183    2676    256
193    2880    256
196    2888    256
116    1368    128
129    1548    128
157    2248    256
119    1336    128
289    5056    512
171    2592    256
357    6288    512
193    2844    256
113    1356    128
116    1372    128
189    2816    256
180    2776    256
198    2996    256
189    2700    256
118    1328    128
209    3008    256
113    1308    128
332    5988    512
117    1340    128
218    3312    256
193    2876    256
123    1504    128
115    1304    128
193    2876    256
341    6304    512
287    4980    512
144    2140    256
194    2836    256
207    3060    256
190    2860    256
197    2992    256
188    2792    256
182    2660    256
180    2668    256
198    2908    256
198    2916    256
209    2976    256
148    2152    256
192    2888    256
205    2924    256
195    2852    256
195    2884    256
185    2700    256
321    5884    512
202    3036    256
122    1396    128
181    2644    256
151    2212    256
167    2548    256
178    2644    256
284    5044    512
148    2152    256
203    2920    256
151    2208    256
164    2264    256
157    2240    256
276    4952    512
183    2744    256
117    1340    128
218    3312    256
193    2876    256
205    3072    256
188    2868    256
121    1344    128
180    2612    256
168    2428    256
156    2252    256
186    2796    256
186    2768    256
115    1320    128
191    2872    256
204    3032    256
193    2876    256
