turns     points   largest   secondlargest
1224      30604    2048    1024
1371      34156    2048    1024
697      15348    1024    512
2024      57068    4096    1024
1162      29792    2048    1024
1022      26152    2048    512
1211      30584    2048    1024
899      22336    2048    256
1316      33176    2048    1024
1358      34140    2048    1024
621      13564    1024    512
1070      25976    2048    512
356      6588    512    256
2077      57780    4096    1024
715      15228    1024    512
1214      30528    2048    1024
715      15292    1024    512
1351      33248    2048    1024
1023      25604    2048    512
948      24136    2048    512
1329      33536    2048    1024
678      14992    1024    512
1389      34420    2048    1024
1037      25792    2048    512
1860      53324    4096    1024
604      13476    1024    512
688      15164    1024    512
532      11380    1024    256
1260      32100    2048    1024
1360      33596    2048    1024
1032      25708    2048    512
1221      30544    2048    1024
358      6672    512    256
691      15000    1024    512
1300      32636    2048    1024
866      22000    2048    256
1391      34304    2048    1024
949      24164    2048    512
1045      25736    2048    512
1028      25624    2048    512
1063      25948    2048    512
1356      34112    2048    1024
701      15152    1024    512
2054      57396    4096    1024
1891      53704    4096    1024
1341      33660    2048    1024
187      2864    256    128
709      15220    1024    512
1023      25648    2048    512
1044      25740    2048    512
700      15164    1024    512
653      14440    1024    512
1038      25684    2048    512
691      15108    1024    512
1334      33304    2048    1024
1327      33464    2048    1024
705      15168    1024    512
1034      25812    2048    512
1043      25864    2048    512
319      5956    512    256
642      14416    1024    512
359      6612    512    256
1048      25708    2048    512
1355      33812    2048    1024
620      13612    1024    512
1307      32696    2048    1024
685      15036    1024    512
1038      25800    2048    512
544      11688    1024    256
626      13720    1024    512
684      14900    1024    512
1004      25168    2048    512
900      23360    2048    512
1137      28892    2048    1024
1404      34624    2048    1024
668      14452    1024    512
983      24928    2048    512
706      15232    1024    512
1727      49272    4096    512
711      15224    1024    512
1210      30564    2048    1024
1327      33480    2048    1024
1370      34036    2048    1024
1160      29852    2048    1024
694      16104    1024    512
698      15092    1024    512
1847      52964    4096    1024
1355      34160    2048    1024
1022      25668    2048    512
1222      30672    2048    1024
704      15116    1024    512
1203      30536    2048    1024
1362      34056    2048    1024
1865      53552    4096    1024
869      21924    2048    256
1351      33944    2048    1024
697      15132    1024    512
1064      26044    2048    512
1190      30196    2048    1024
694      14992    1024    512
629      13704    1024    512
1400      36392    2048    1024
351      6644    512    256
1353      33828    2048    1024
1045      25680    2048    512
697      15376    1024    512
1207      30512    2048    1024
1224      30576    2048    1024
1374      34232    2048    1024
732      15452    1024    512
1366      34192    2048    1024
1328      33548    2048    1024
1252      31948    2048    1024
1871      53384    4096    1024
697      15080    1024    512
702      15640    1024    512
1389      34268    2048    1024
567      12764    1024    512
1198      30468    2048    1024
1042      25732    2048    512
1219      30604    2048    1024
1281      32508    2048    1024
369      6624    512    256
697      15156    1024    512
685      15168    1024    512
1213      30480    2048    1024
1379      34188    2048    1024
1046      25824    2048    512
1376      34320    2048    1024
1285      32624    2048    1024
1232      30716    2048    1024
687      15048    1024    512
1340      33580    2048    1024
1106      28744    2048    1024
568      12856    1024    512
719      15244    1024    512
872      21976    2048    256
1220      30576    2048    1024
1065      26320    2048    512
1356      33916    2048    1024
662      14504    1024    512
997      25324    2048    512
660      14484    1024    512
1381      34256    2048    1024
352      6580    512    256
703      15216    1024    512
959      24120    2048    512
1243      31116    2048    1024
1891      53644    4096    1024
1322      33456    2048    1024
1204      30536    2048    1024
1044      25708    2048    512
716      15376    1024    512
777      20292    2048    128
1008      25352    2048    512
519      11300    1024    256
1050      25908    2048    512
859      21876    2048    256
1399      34300    2048    1024
698      15076    1024    512
564      11720    1024    256
705      15164    1024    512
1409      34676    2048    1024
1048      25780    2048    512
1391      34396    2048    1024
650      14384    1024    512
657      14524    1024    512
1305      32688    2048    1024
1195      30392    2048    1024
1211      30572    2048    1024
1300      32600    2048    1024
1388      34348    2048    1024
1034      25680    2048    512
1313      32692    2048    1024
701      14960    1024    512
1339      33572    2048    1024
1383      34380    2048    1024
693      15088    1024    512
1155      29760    2048    1024
694      15124    1024    512
1375      33972    2048    1024
360      6620    512    256
715      15208    1024    512
1224      30556    2048    1024
1744      49036    4096    512
1871      53596    4096    1024
1350      33760    2048    1024
596      13400    1024    512
1047      25804    2048    512
1223      30576    2048    1024
1385      34292    2048    1024
1657      47536    4096    512
1732      48956    4096    512
1346      33576    2048    1024
1359      33752    2048    1024
699      15092    1024    512
1370      33848    2048    1024
1219      30684    2048    1024
1208      30448    2048    1024
1349      34044    2048    1024
