turns  points  maxTile
162     2304    256
60     516    64
73     616    64
69     596    64
115     1292    128
127     1872    256
71     600    64
162     2236    256
110     1264    128
163     2260    256
166     2252    256
107     1268    128
95     1028    128
113     1288    128
105     1208    128
57     468    64
165     2264    256
100     1172    128
151     2160    256
190     2812    256
104     1172    128
108     1220    128
108     1268    128
100     1156    128
76     676    64
110     1228    128
117     1368    128
112     1288    128
81     692    64
148     2112    256
140     1972    256
113     1476    128
114     1344    128
113     1288    128
86     928    128
99     1164    128
109     1244    128
65     564    64
188     2780    256
69     600    64
115     1304    128
143     2140    256
112     1280    128
156     2208    256
105     1196    128
141     1992    256
162     2264    256
115     1324    128
90     1004    128
77     884    128
74     620    64
56     476    64
58     520    64
110     1292    128
113     1296    128
70     552    64
118     1376    128
91     1008    128
168     2516    256
155     2208    256
152     2200    256
73     664    64
135     1556    128
54     456    64
188     2808    256
107     1220    128
177     2676    256
151     2176    256
107     1248    128
65     564    64
101     1176    128
60     492    64
101     1176    128
90     1024    128
135     1760    128
111     1268    128
66     544    64
69     660    64
107     1204    128
60     496    64
161     2256    256
190     2820    256
206     2924    256
66     584    64
77     744    64
109     1312    128
98     1084    128
194     2816    256
153     2180    256
89     996    128
97     1156    128
110     1232    128
102     1248    128
73     696    64
113     1276    128
130     1868    256
91     1008    128
104     1188    128
69     604    64
46     280    32
