points   maxTile
6252     512
6168     512
3948     256
2468     256
5024     512
5384     512
3564     256
2236     256
1744     128
1484     128
2152     128
5928     512
4780     512
2224     256
1980     256
2836     256
1332     128
2824     256
2668     256
1848     128
2416     256
4560     512
2904     256
3008     256
5044     512
1548     128
2484     256
4868     512
3456     256
2984     256
1412     128
2428     256
2844     256
2688     256
1932     256
3244     256
1968     256
2492     256
5928     512
2764     256
1340     128
3992     256
4552     512
3632     256
1044     128
2180     256
2908     256
2800     256
1668     128
2856     256
3376     256
3196     256
1004     128
1520     128
3616     256
2988     256
896     64
4416     512
5300     512
4664     512
3116     256
1776     128
3336     256
3588     256
7236     512
2248     256
2824     256
2324     256
2956     256
1036     128
3456     256
2236     256
2080     128
2228     256
1524     128
872     64
2652     256
1056     128
5012     512
4488     512
5768     512
1568     128
4996     512
2908     256
2816     256
3164     256
3180     256
2892     256
2300     256
4980     512
6700     512
3088     256
2904     256
4756     512
2872     256
5704     512
3012     256
1736     128
2992     256
2296     128
3104     256
2456     256
3188     256
5952     512
4516     512
2528     256
3308     256
2756     256
4752     512
3248     256
5652     512
4168     256
1960     128
4516     512
10004     1024
2256     256
1672     128
1588     128
5056     512
2612     256
1256     128
2836     256
2352     256
1584     128
2492     256
2756     128
1688     128
5228     512
2556     256
3148     256
2600     256
1360     128
3796     256
4568     512
1240     128
3716     256
2976     256
3928     256
2920     256
4968     512
4520     512
2892     256
3076     256
4708     512
1816     128
2952     256
3204     256
1772     128
3044     256
4824     512
6632     512
3296     256
3048     256
2756     256
4864     512
3336     256
1316     128
1084     128
2728     256
800     64
1396     128
2328     128
7920     512
6748     512
5336     512
4188     256
3692     256
1484     128
1348     128
3364     256
3068     256
3040     256
2532     256
4132     512
2200     128
2516     256
1860     128
1244     128
5200     512
3880     256
2864     256
3888     256
924     128
2756     256
1552     128
1652     128
3284     256
4056     256
3236     256
2708     256
752     64
1260     128
2132     128
1744     128
2228     128
4040     512
4964     256
1596     128
3444     256
4756     512
1820     128
1464     128
3024     256
4872     512
4388     512
4972     512
5444     512
2680     256
5424     512
5248     512
1460     128
3064     256
4752     512
2292     256
4572     512
5172     512
3272     256
5388     512
2296     256
3520     256
3916     256
4456     512
2636     256
3380     256
788     64
1680     128
3584     256
5212     512
4556     512
884     64
3004     256
2884     256
3244     256
5048     512
2992     256
1224     128
3160     256
3052     256
6016     512
1300     64
3208     256
3412     256
2316     128
3512     256
2916     256
2916     256
2676     256
4964     512
3432     256
5016     512
6728     512
6548     512
2408     128
1672     128
2600     256
4024     512
3936     256
4060     256
1432     128
5068     512
2760     256
3184     256
3340     256
3076     256
1904     128
2652     256
2368     256
2740     256
3216     256
4668     256
2168     256
5280     512
3132     256
1088     128
3160     256
660     64
1604     128
4344     512
1612     128
2928     256
2836     256
1864     256
4412     256
6808     512
2508     256
1936     128
3280     256
1500     128
5740     512
2896     256
2712     256
3068     256
2632     256
1908     128
1404     128
6288     512
4984     512
2992     256
3148     256
4992     512
2888     256
2444     256
3196     256
3808     256
4368     512
4332     512
3544     256
2636     256
3076     256
5032     512
2872     256
5432     512
3180     256
2968     256
2872     256
3936     256
1420     128
2476     256
3320     256
4968     512
3112     256
1588     128
2992     256
5124     512
6336     512
824     64
5004     512
2408     256
2420     256
2608     256
1696     128
2312     256
2812     256
1416     128
1928     128
5124     512
1808     128
3100     256
5136     512
2148     128
3320     256
2984     256
2636     256
7096     512
5664     512
2940     256
2200     256
2408     256
5468     512
4812     256
2600     256
3032     256
2548     256
1696     128
2164     256
6752     512
2736     256
4908     512
1804     128
1504     128
4700     512
3116     256
2536     256
3224     256
2148     256
2856     256
2520     256
2972     256
4252     512
6600     512
1196     128
5104     512
2880     256
2636     256
3052     256
1372     128
4948     512
4888     512
1264     128
2952     256
4608     512
2788     256
5200     512
3348     256
2924     256
1064     128
2852     256
5664     512
2280     256
1512     128
2028     256
5848     512
4360     512
4548     512
2768     256
2520     256
2248     256
2204     256
2636     256
4348     512
3132     256
3012     256
2152     256
2148     256
1476     128
1948     256
2156     256
3172     256
3136     256
1360     128
1488     128
